SATISFACTION_WITH_FINANCIAL_CONDITION,SPENDING_COMPARISON_TO_INCOME,DIFFICULTY_COVERING_EXPENSES,FIN_ANXIETY,EMERGENCY_FUNDS,CONFIDENCE_GET_2000,CREDIT_RECORD_RATING,CHECKING_ACCOUNT,SAVINGS_ACCOUNT,OVERDRAW_CHECKING_ACCOUNT,REGULAR_CONTRIBUTION_TO_RETIREMENT,OTHER_INVESTMENTS,ALWAYS_PAY_CR_FULL_12MO,USED_PAYDAY_LOAN,DEBT_COLLECTED_12MO,TOO_MUCH_DEBT_STRENGTH,D2D_FINANCIAL_SKILL,FINANCIAL_KNOWLEDGE_ASSESS,RACE_ETHNICITY,EDUCATION_LEVEL,HIGHEST_EDUCATION_OF_RAISERS,NUM_DEPENDENT_CHILDREN,BINARIZED_GENDER,AGE,LAYOFF_PANDEMIC,EXPECT_INHERIT_10K_PLUS,STATE,FIN_ED_HS,Z,FIN_HEALTH
9.0,0.0,4.5,7.0,0.0,0.0,4.5,9.0,0.0,9.0,4.5,4.5,4.5,9.0,9.0,4.5,4.5,4.5,1,4,3.0,6,2,4,2.0,2.0,4,4.0,0,88.0
3.0,9.0,4.5,5.0,0.0,0.0,4.5,9.0,0.0,0.0,4.5,0.0,0.0,9.0,0.0,0.0,6.0,4.5,1,5,4.0,5,2,6,2.0,1.0,39,1.0,1,59.0
7.0,9.0,9.0,5.0,9.0,6.0,6.75,9.0,9.0,9.0,4.5,0.0,0.0,9.0,9.0,3.0,9.0,6.0,1,5,1.0,2,2,3,1.0,1.0,39,4.0,0,119.25
8.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,4.5,9.0,9.0,9.0,9.0,9.0,7.5,6.0,1,4,3.0,5,2,6,2.0,1.0,37,4.0,0,144.0
7.0,9.0,9.0,2.0,9.0,9.0,6.75,9.0,9.0,9.0,4.5,0.0,9.0,9.0,9.0,7.5,9.0,7.5,1,6,5.0,3,2,4,2.0,2.0,18,4.0,0,134.25
3.0,4.5,4.5,3.0,0.0,6.0,4.5,9.0,9.0,9.0,4.5,0.0,0.0,9.0,9.0,0.0,6.0,4.5,1,4,2.0,5,2,6,2.0,1.0,5,4.0,0,85.5
7.0,0.0,4.5,1.0,9.0,9.0,9.0,9.0,0.0,9.0,4.5,0.0,9.0,9.0,9.0,9.0,9.0,9.0,1,3,2.0,5,1,6,2.0,2.0,47,4.0,0,116.0
2.0,0.0,9.0,5.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,9.0,9.0,9.0,6.0,7.5,6.0,1,6,5.0,2,2,3,2.0,2.0,39,2.0,1,116.5
7.0,9.0,9.0,3.0,9.0,9.0,6.75,9.0,9.0,9.0,4.5,0.0,4.5,9.0,9.0,9.0,6.0,4.5,1,6,5.0,6,2,6,2.0,2.0,36,4.0,0,126.25
2.0,0.0,4.5,7.0,9.0,0.0,4.5,9.0,9.0,9.0,4.5,0.0,0.0,9.0,0.0,3.0,9.0,4.5,1,4,2.0,5,2,5,2.0,2.0,11,4.0,0,84.0
6.0,0.0,4.5,5.0,9.0,6.0,6.75,9.0,9.0,0.0,9.0,0.0,0.0,9.0,9.0,3.0,6.0,6.0,1,7,6.0,1,2,4,2.0,2.0,22,4.0,0,97.25
5.0,9.0,9.0,5.0,0.0,4.5,9.0,9.0,0.0,9.0,4.5,0.0,0.0,9.0,9.0,4.5,7.5,6.0,1,2,2.0,5,2,5,2.0,2.0,41,4.0,0,100.0
7.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,7.5,1,7,2.0,5,2,6,1.0,2.0,14,4.5,1,154.0
9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,1,7,6.0,5,2,6,2.0,1.0,44,2.0,1,152.5
8.0,0.0,4.5,4.5,9.0,9.0,6.75,9.0,9.0,0.0,9.0,9.0,9.0,1.0,0.0,1.5,9.0,7.5,1,7,6.0,2,1,3,1.0,1.0,6,1.0,1,105.75
0.0,4.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,9.0,4.5,1.5,0.0,0.0,2,1,1.0,5,2,3,4.5,2.0,34,4.0,0,44.5
9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,1,4,2.0,5,1,6,2.0,1.0,21,4.0,0,144.5
9.0,0.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,1,7,6.0,2,1,6,2.0,2.0,6,1.0,1,134.5
